molecule_chembl_id,canonical_smiles,standard_value,bio_class
CHEMBL507784,CCCCCCC(=O)N[C@@H](CSCCOCCOCCSC[C@H](NC(=O)CCCCCC)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@H](C)CC)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1200.0,intermediate
CHEMBL508493,CC[C@@H](C)[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)CCCCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)CCCCC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,64000.0,inactive
CHEMBL507233,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,35000.0,inactive
CHEMBL505939,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,50000.0,inactive
CHEMBL466684,O=C1N[C@@H](Cc2ccccc2)C([O-])[N+]2(CCCCC2)N1Cc1ccccc1,37200.0,inactive
CHEMBL466688,CC(C)(C)NC(=O)[C@@H]1CCC[N+]12C([O-])[C@H](Cc1ccccc1)NC(=O)N2Cc1ccccc1,44500.0,inactive
CHEMBL541232,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1Cl)c1ccc(F)cc1Cl,395.4,active
CHEMBL564804,COc1ccccc1C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)c1ccccc1OC,1313.0,intermediate
CHEMBL573822,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@]43C)[C@H]2C1,3900.0,intermediate
CHEMBL574282,CC(C)(C(=O)O)[C@@H]1CC[C@]2(C)[C@H](C(=O)C=C3[C@H]4C[C@@](C)(C(=O)O)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CC(=O)O,5700.0,intermediate
CHEMBL575906,CC(C)[C@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,10600.0,inactive
